station,timestamp,aqi,rating_aqi,pm2.5,rating_pm2.5
THCS Thanh My Loi,"16 Nov 2021, 1:00 PM",17,AQI US - Tốt,4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 2:00 PM",17,AQI US - Tốt,4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 3:00 PM",12,AQI US - Tốt,3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 4:00 PM",21,AQI US - Tốt,5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 5:00 PM",12,AQI US - Tốt,3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 6:00 PM",17,AQI US - Tốt,4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 7:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 8:00 PM",53,AQI US - Trung bình,13,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 9:00 PM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 10:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"16 Nov 2021, 11:00 PM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 12:00 AM",49,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 1:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 2:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 3:00 AM",49,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 4:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 5:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 6:00 AM",59,AQI US - Trung bình,15.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 7:00 AM",67,AQI US - Trung bình,19.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 8:00 AM",124,AQI US - Không lành mạnh cho các nhóm nhạy cảm,45.1,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 9:00 AM",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm,51.8,PM2.5 µg/m³ - Trung bình
THCS Thanh My Loi,"17 Nov 2021, 10:00 AM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm,42.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 11:00 AM",57,AQI US - Trung bình,15,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 12:00 PM",57,AQI US - Trung bình,15,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 1:00 PM",59,AQI US - Trung bình,16,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 2:00 PM",50,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 3:00 PM",57,AQI US - Trung bình,15,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 4:00 PM",50,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 5:00 PM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 6:00 PM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 7:00 PM",25,AQI US - Tốt,6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 8:00 PM",21,AQI US - Tốt,5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 9:00 PM",61,AQI US - Trung bình,16.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 10:00 PM",65,AQI US - Trung bình,18.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"17 Nov 2021, 11:00 PM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 12:00 AM",79,AQI US - Trung bình,25.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 1:00 AM",82,AQI US - Trung bình,26.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 2:00 AM",73,AQI US - Trung bình,22.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 3:00 AM",71,AQI US - Trung bình,21.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 4:00 AM",69,AQI US - Trung bình,20.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 5:00 AM",77,AQI US - Trung bình,24.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 6:00 AM",79,AQI US - Trung bình,25.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 7:00 AM",71,AQI US - Trung bình,21.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 8:00 AM",69,AQI US - Trung bình,20.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 9:00 AM",77,AQI US - Trung bình,24.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 10:00 AM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 2:00 PM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 3:00 PM",17,AQI US - Tốt,4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 5:00 PM",21,AQI US - Tốt,5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 6:00 PM",29,AQI US - Tốt,7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 7:00 PM",53,AQI US - Trung bình,13,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 8:00 PM",61,AQI US - Trung bình,16.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 9:00 PM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 10:00 PM",49,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"18 Nov 2021, 11:00 PM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 12:00 AM",80,AQI US - Trung bình,25.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 1:00 AM",100,AQI US - Trung bình,35.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 2:00 AM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm,41.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 3:00 AM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm,42.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 4:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm,37.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 5:00 AM",75,AQI US - Trung bình,23.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 6:00 AM",81,AQI US - Trung bình,26.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 7:00 AM",84,AQI US - Trung bình,27.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 8:00 AM",71,AQI US - Trung bình,21.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 9:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 10:00 AM",55,AQI US - Trung bình,14,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 11:00 AM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 12:00 PM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 1:00 PM",61,AQI US - Trung bình,16.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 2:00 PM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"19 Nov 2021, 3:00 PM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"22 Nov 2021, 10:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"22 Nov 2021, 11:00 PM",29,AQI US - Tốt,7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 12:00 AM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 1:00 AM",49,AQI US - Tốt,11.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 2:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 3:00 AM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 4:00 AM",65,AQI US - Trung bình,18.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 5:00 AM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 6:00 AM",84,AQI US - Trung bình,27.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 7:00 AM",92,AQI US - Trung bình,31.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 8:00 AM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 9:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 10:00 AM",53,AQI US - Trung bình,13,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 11:00 AM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 12:00 PM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 1:00 PM",57,AQI US - Trung bình,15,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 2:00 PM",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 3:00 PM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 4:00 PM",53,AQI US - Trung bình,12.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 5:00 PM",59,AQI US - Trung bình,15.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 6:00 PM",74,AQI US - Trung bình,22.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 7:00 PM",74,AQI US - Trung bình,22.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 8:00 PM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm,35.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 9:00 PM",73,AQI US - Trung bình,22.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 10:00 PM",53,AQI US - Trung bình,12.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"23 Nov 2021, 11:00 PM",53,AQI US - Trung bình,12.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 12:00 AM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 1:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
