timestamp,value,rating
"18 Nov, 12:00 PM",19.9,PM2.5 µg/m³ - Tốt
"18 Nov, 1:00 PM",26.9,PM2.5 µg/m³ - Tốt
"18 Nov, 2:00 PM",25.9,PM2.5 µg/m³ - Tốt
"18 Nov, 3:00 PM",16.9,PM2.5 µg/m³ - Tốt
"18 Nov, 4:00 PM",8,PM2.5 µg/m³ - Tốt
"18 Nov, 5:00 PM",9,PM2.5 µg/m³ - Tốt
"18 Nov, 6:00 PM",21.9,PM2.5 µg/m³ - Tốt
"18 Nov, 7:00 PM",46.4,PM2.5 µg/m³ - Tốt
"18 Nov, 8:00 PM",45.4,PM2.5 µg/m³ - Tốt
"18 Nov, 9:00 PM",36.6,PM2.5 µg/m³ - Tốt
"18 Nov, 10:00 PM",42.5,PM2.5 µg/m³ - Tốt
"18 Nov, 11:00 PM",42.4,PM2.5 µg/m³ - Tốt
"19 Nov, 12:00 AM",41.5,PM2.5 µg/m³ - Tốt
"19 Nov, 1:00 AM",42.2,PM2.5 µg/m³ - Tốt
"19 Nov, 2:00 AM",68.8,PM2.5 µg/m³ - Trung bình
"19 Nov, 3:00 AM",110.4,PM2.5 µg/m³ - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 4:00 AM",103.7,PM2.5 µg/m³ - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 5:00 AM",85.7,PM2.5 µg/m³ - Trung bình
"19 Nov, 6:00 AM",87.6,PM2.5 µg/m³ - Trung bình
"19 Nov, 7:00 AM",68.4,PM2.5 µg/m³ - Trung bình
"19 Nov, 8:00 AM",54.8,PM2.5 µg/m³ - Trung bình
"19 Nov, 9:00 AM",26.8,PM2.5 µg/m³ - Tốt
"19 Nov, 10:00 AM",25.9,PM2.5 µg/m³ - Tốt
"19 Nov, 11:00 AM",26.9,PM2.5 µg/m³ - Tốt
"19 Nov, 12:00 PM",29.9,PM2.5 µg/m³ - Tốt
"19 Nov, 1:00 PM",17,PM2.5 µg/m³ - Tốt
"19 Nov, 2:00 PM",18,PM2.5 µg/m³ - Tốt
"19 Nov, 3:00 PM",20.9,PM2.5 µg/m³ - Tốt
"19 Nov, 4:00 PM",34.8,PM2.5 µg/m³ - Tốt
"19 Nov, 5:00 PM",43.5,PM2.5 µg/m³ - Tốt
"19 Nov, 6:00 PM",29.8,PM2.5 µg/m³ - Tốt
"19 Nov, 7:00 PM",14.9,PM2.5 µg/m³ - Tốt
"19 Nov, 8:00 PM",14,PM2.5 µg/m³ - Tốt
"19 Nov, 9:00 PM",17.9,PM2.5 µg/m³ - Tốt
"19 Nov, 10:00 PM",23.8,PM2.5 µg/m³ - Tốt
"19 Nov, 11:00 PM",28.8,PM2.5 µg/m³ - Tốt
"20 Nov, 12:00 AM",29.7,PM2.5 µg/m³ - Tốt
"20 Nov, 1:00 AM",33.5,PM2.5 µg/m³ - Tốt
"20 Nov, 2:00 AM",36.5,PM2.5 µg/m³ - Tốt
"20 Nov, 3:00 AM",35.5,PM2.5 µg/m³ - Tốt
"20 Nov, 4:00 AM",22.8,PM2.5 µg/m³ - Tốt
"20 Nov, 5:00 AM",19.8,PM2.5 µg/m³ - Tốt
"20 Nov, 6:00 AM",22.8,PM2.5 µg/m³ - Tốt
"20 Nov, 7:00 AM",37.4,PM2.5 µg/m³ - Tốt
"20 Nov, 8:00 AM",63.5,PM2.5 µg/m³ - Trung bình
"20 Nov, 9:00 AM",73.3,PM2.5 µg/m³ - Trung bình
"20 Nov, 10:00 AM",32.7,PM2.5 µg/m³ - Tốt
"20 Nov, 11:00 AM",39.7,PM2.5 µg/m³ - Tốt
"20 Nov, 12:00 PM",71.9,PM2.5 µg/m³ - Trung bình
"20 Nov, 1:00 PM",74.8,PM2.5 µg/m³ - Trung bình
"20 Nov, 2:00 PM",66.9,PM2.5 µg/m³ - Trung bình
"20 Nov, 3:00 PM",67.5,PM2.5 µg/m³ - Trung bình
"20 Nov, 4:00 PM",19.8,PM2.5 µg/m³ - Tốt
"20 Nov, 5:00 PM",24.6,PM2.5 µg/m³ - Tốt
"20 Nov, 6:00 PM",31.4,PM2.5 µg/m³ - Tốt
"20 Nov, 7:00 PM",33.4,PM2.5 µg/m³ - Tốt
"20 Nov, 8:00 PM",26.7,PM2.5 µg/m³ - Tốt
"20 Nov, 9:00 PM",27.6,PM2.5 µg/m³ - Tốt
"20 Nov, 10:00 PM",28.6,PM2.5 µg/m³ - Tốt
"20 Nov, 11:00 PM",24.7,PM2.5 µg/m³ - Tốt
"21 Nov, 12:00 AM",28.5,PM2.5 µg/m³ - Tốt
"21 Nov, 1:00 AM",37.2,PM2.5 µg/m³ - Tốt
"21 Nov, 2:00 AM",29.6,PM2.5 µg/m³ - Tốt
"21 Nov, 3:00 AM",41.2,PM2.5 µg/m³ - Tốt
"21 Nov, 4:00 AM",52.2,PM2.5 µg/m³ - Trung bình
"21 Nov, 5:00 AM",59.5,PM2.5 µg/m³ - Trung bình
