timestamp,value,rating
"22 Nov, 2:00 PM",14,PM2.5 µg/m³ - Tốt
"22 Nov, 3:00 PM",12,PM2.5 µg/m³ - Tốt
"22 Nov, 4:00 PM",13,PM2.5 µg/m³ - Tốt
"22 Nov, 5:00 PM",12,PM2.5 µg/m³ - Tốt
"22 Nov, 6:00 PM",11,PM2.5 µg/m³ - Tốt
"22 Nov, 7:00 PM",21.9,PM2.5 µg/m³ - Tốt
"22 Nov, 8:00 PM",22.8,PM2.5 µg/m³ - Tốt
"22 Nov, 9:00 PM",16.9,PM2.5 µg/m³ - Tốt
"22 Nov, 10:00 PM",20.8,PM2.5 µg/m³ - Tốt
"22 Nov, 11:00 PM",19.8,PM2.5 µg/m³ - Tốt
"23 Nov, 12:00 AM",22.8,PM2.5 µg/m³ - Tốt
"23 Nov, 1:00 AM",22.8,PM2.5 µg/m³ - Tốt
"23 Nov, 2:00 AM",26.6,PM2.5 µg/m³ - Tốt
"23 Nov, 3:00 AM",34.5,PM2.5 µg/m³ - Tốt
"23 Nov, 4:00 AM",52.9,PM2.5 µg/m³ - Trung bình
"23 Nov, 5:00 AM",47.1,PM2.5 µg/m³ - Tốt
"23 Nov, 6:00 AM",38.4,PM2.5 µg/m³ - Tốt
"23 Nov, 7:00 AM",40.4,PM2.5 µg/m³ - Tốt
"23 Nov, 8:00 AM",61.6,PM2.5 µg/m³ - Trung bình
"23 Nov, 9:00 AM",40.5,PM2.5 µg/m³ - Tốt
"23 Nov, 10:00 AM",34.7,PM2.5 µg/m³ - Tốt
"23 Nov, 11:00 AM",26.8,PM2.5 µg/m³ - Tốt
"23 Nov, 12:00 PM",22.9,PM2.5 µg/m³ - Tốt
"23 Nov, 1:00 PM",34.8,PM2.5 µg/m³ - Tốt
"23 Nov, 2:00 PM",34.8,PM2.5 µg/m³ - Tốt
"23 Nov, 3:00 PM",11,PM2.5 µg/m³ - Tốt
"23 Nov, 4:00 PM",24.7,PM2.5 µg/m³ - Tốt
"23 Nov, 5:00 PM",24.8,PM2.5 µg/m³ - Tốt
"23 Nov, 6:00 PM",28.7,PM2.5 µg/m³ - Tốt
"23 Nov, 7:00 PM",37.5,PM2.5 µg/m³ - Tốt
"23 Nov, 8:00 PM",43.2,PM2.5 µg/m³ - Tốt
"23 Nov, 9:00 PM",38.3,PM2.5 µg/m³ - Tốt
